,Year,Month,Day,Time,Length,Start,End,Activity,Date,main_activity,sub_activity
10033,2019,1,9, 22:28:22,1900-01-01 00:25:00,1547069302,1547070802, +Lettura @lasincronicità,2019-01-09 00:00:00, +Lettura ,lasincronicità
10058,2019,1,11, 13:06:02,1900-01-01 00:25:00,1547208362,1547209862, +Lettura @quotidiano,2019-01-11 00:00:00, +Lettura ,quotidiano
10085,2019,1,12, 18:36:11,1900-01-01 00:25:00,1547314571,1547316071, +Lettura @lasincronicità,2019-01-12 00:00:00, +Lettura ,lasincronicità
10086,2019,1,12, 19:06:11,1900-01-01 00:25:00,1547316371,1547317871, +Lettura @lasincronicità,2019-01-12 00:00:00, +Lettura ,lasincronicità
10112,2019,1,14, 19:43:36,1900-01-01 00:25:00,1547491416,1547492916, +Lettura @lasincronicità,2019-01-14 00:00:00, +Lettura ,lasincronicità
10113,2019,1,14, 20:23:36,1900-01-01 00:25:00,1547493816,1547495316, +Lettura @lasincronicità,2019-01-14 00:00:00, +Lettura ,lasincronicità
10114,2019,1,14, 21:53:37,1900-01-01 00:25:01,1547499217,1547500718, +Lettura @lasincronicità,2019-01-14 00:00:00, +Lettura ,lasincronicità
10129,2019,1,15, 22:28:32,1900-01-01 00:25:00,1547587712,1547589212, +Lettura @lasincronicità,2019-01-15 00:00:00, +Lettura ,lasincronicità
10130,2019,1,15, 22:58:33,1900-01-01 00:25:01,1547589513,1547591014, +Lettura @lasincronicità,2019-01-15 00:00:00, +Lettura ,lasincronicità
10131,2019,1,15, 23:28:35,1900-01-01 00:25:00,1547591315,1547592815, +Lettura @lasincronicità,2019-01-15 00:00:00, +Lettura ,lasincronicità
10132,2019,1,15, 23:58:36,1900-01-01 00:25:00,1547593116,1547594616, +Lettura @lasincronicità,2019-01-15 00:00:00, +Lettura ,lasincronicità
10168,2019,1,18, 22:23:10,1900-01-01 00:25:01,1547846590,1547848091, +Lettura @ThinkingFastAndSlow,2019-01-18 00:00:00, +Lettura ,ThinkingFastAndSlow
10169,2019,1,18, 22:53:11,1900-01-01 00:25:00,1547848391,1547849891, +Lettura @ThinkingFastAndSlow,2019-01-18 00:00:00, +Lettura ,ThinkingFastAndSlow
10170,2019,1,18, 23:23:11,1900-01-01 00:25:00,1547850191,1547851691, +Lettura @ThinkingFastAndSlow,2019-01-18 00:00:00, +Lettura ,ThinkingFastAndSlow
10171,2019,1,19, 13:32:42,1900-01-01 00:25:01,1547901162,1547902663, +Lettura @ServiceDesign,2019-01-19 00:00:00, +Lettura ,ServiceDesign
